"filename", "language", "XML", "Dart", "YAML", "Markdown", "JSON", "HTML", "Groovy", "Properties", "Java", "C++", "Shell Script", "Swift", "comment", "blank", "total"
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-el/values-el.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-en-rAU/values-en-rAU.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-en-rCA/values-en-rCA.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-en-rGB/values-en-rGB.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-en-rIN/values-en-rIN.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-en-rXC/values-en-rXC.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-es-rUS/values-es-rUS.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-es/values-es.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-et/values-et.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-eu/values-eu.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-fa/values-fa.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-fi/values-fi.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-fr-rCA/values-fr-rCA.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-fr/values-fr.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-gl/values-gl.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-gu/values-gu.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-hi/values-hi.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-hr/values-hr.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-hu/values-hu.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-hy/values-hy.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-in/values-in.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-is/values-is.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-it/values-it.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-iw/values-iw.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ja/values-ja.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ka/values-ka.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
